timestamp,open,high,low,close,volume
2025-09-14 17:30:00+00:00,928.78,929.36,926.77,928.47,8980.64
2025-09-14 17:45:00+00:00,928.47,929.33,928.14,928.41,1866.26
2025-09-14 18:00:00+00:00,928.42,928.42,927.39,927.75,2183.88
2025-09-14 18:15:00+00:00,927.75,927.76,925.75,926.44,5279.55
2025-09-14 18:30:00+00:00,926.45,927.63,926.28,927.39,1521.13
2025-09-14 18:45:00+00:00,927.39,927.58,926.45,926.92,1668.59
2025-09-14 19:00:00+00:00,926.93,928.49,925.8,928.21,1887.7
2025-09-14 19:15:00+00:00,928.21,929.22,927.92,929.17,1626.04
2025-09-14 19:30:00+00:00,929.17,929.61,928.45,929.1,2164.35
2025-09-14 19:45:00+00:00,929.1,929.31,927.54,928.09,1549.37
2025-09-14 20:00:00+00:00,928.08,928.89,927.64,928.74,1758.37
2025-09-14 20:15:00+00:00,928.73,930.28,928.73,930.03,2508.47
2025-09-14 20:30:00+00:00,930.02,930.26,928.25,930.02,1811.27
2025-09-14 20:45:00+00:00,930.02,930.43,929.54,929.58,1779.55
2025-09-14 21:00:00+00:00,929.57,930.06,927.3,929.06,3489.48
2025-09-14 21:15:00+00:00,929.06,931.91,929.04,930.61,4118.32
2025-09-14 21:30:00+00:00,930.61,933.82,930.4,933.68,4424.65
2025-09-14 21:45:00+00:00,933.68,934.23,931.78,934.12,5017.79
2025-09-14 22:00:00+00:00,934.13,934.43,933.01,933.42,5208.5
2025-09-14 22:15:00+00:00,933.43,934.26,932.5,934.25,5523.71
2025-09-14 22:30:00+00:00,934.25,934.78,932.13,934.78,8467.84
2025-09-14 22:45:00+00:00,934.77,934.78,933.43,933.53,2500.66
2025-09-14 23:00:00+00:00,933.54,933.54,929.28,929.61,5352.01
2025-09-14 23:15:00+00:00,929.6,930.05,928.0,928.18,5537.44
2025-09-14 23:30:00+00:00,928.19,928.23,926.0,926.91,6049.9
2025-09-14 23:45:00+00:00,926.92,927.78,925.56,926.82,3751.56
2025-09-15 00:00:00+00:00,926.82,927.63,925.4,927.19,7866.36
2025-09-15 00:15:00+00:00,927.18,929.43,925.71,928.45,3994.14
2025-09-15 00:30:00+00:00,928.44,930.43,926.31,926.51,4661.3
2025-09-15 00:45:00+00:00,926.51,927.46,925.0,925.2,3341.02
2025-09-15 01:00:00+00:00,925.2,926.13,922.5,923.59,10720.84
2025-09-15 01:15:00+00:00,923.59,926.41,922.5,926.41,6422.04
2025-09-15 01:30:00+00:00,926.4,929.83,926.35,928.97,6238.8
2025-09-15 01:45:00+00:00,928.97,930.33,926.87,928.46,2978.52
2025-09-15 02:00:00+00:00,928.45,930.69,928.4,930.01,4926.17
2025-09-15 02:15:00+00:00,930.0,930.96,929.1,930.14,2669.29
2025-09-15 02:30:00+00:00,930.13,930.29,928.55,930.03,2731.0
2025-09-15 02:45:00+00:00,930.03,930.88,929.39,929.73,1203.13
2025-09-15 03:00:00+00:00,929.73,933.51,929.62,933.02,4283.55
2025-09-15 03:15:00+00:00,933.02,933.5,930.63,931.04,7820.8
2025-09-15 03:30:00+00:00,931.03,931.65,930.43,931.01,1988.38
2025-09-15 03:45:00+00:00,931.01,933.4,931.01,932.74,2504.22
2025-09-15 04:00:00+00:00,932.75,933.44,932.18,932.64,2104.94
2025-09-15 04:15:00+00:00,932.63,936.13,932.63,935.0,9087.2
2025-09-15 04:30:00+00:00,935.0,935.68,933.57,934.77,4557.39
2025-09-15 04:45:00+00:00,934.76,935.54,932.92,933.98,5087.67
2025-09-15 05:00:00+00:00,933.99,935.46,933.3,935.21,3301.42
2025-09-15 05:15:00+00:00,935.21,935.78,934.52,935.01,3988.54
2025-09-15 05:30:00+00:00,935.01,935.44,934.05,934.05,1773.77
2025-09-15 05:45:00+00:00,934.05,934.67,933.44,934.65,2822.67
2025-09-15 06:00:00+00:00,934.66,934.71,932.63,933.33,4635.93
2025-09-15 06:15:00+00:00,933.33,933.73,931.06,931.22,5454.65
2025-09-15 06:30:00+00:00,931.22,931.72,928.31,928.89,7729.85
2025-09-15 06:45:00+00:00,928.9,928.9,926.39,927.21,6456.1
2025-09-15 07:00:00+00:00,927.2,929.32,927.13,929.31,3452.44
2025-09-15 07:15:00+00:00,929.3,930.38,927.0,927.13,3251.5
2025-09-15 07:30:00+00:00,927.14,927.14,923.02,924.25,24181.36
2025-09-15 07:45:00+00:00,924.27,925.04,922.73,923.84,9671.67
2025-09-15 08:00:00+00:00,923.84,923.84,917.06,920.4,37671.88
2025-09-15 08:15:00+00:00,920.41,921.84,918.72,920.35,10954.56
2025-09-15 08:30:00+00:00,920.34,921.1,915.53,916.25,14391.87
2025-09-15 08:45:00+00:00,916.24,916.44,911.0,911.3,35803.17
2025-09-15 09:00:00+00:00,911.3,918.75,911.0,916.98,21016.77
2025-09-15 09:15:00+00:00,916.97,917.88,912.3,916.91,34352.59
2025-09-15 09:30:00+00:00,916.91,918.4,915.99,916.35,11522.9
2025-09-15 09:45:00+00:00,916.34,918.5,916.0,918.43,4462.61
2025-09-15 10:00:00+00:00,918.43,918.58,915.97,916.89,3589.43
2025-09-15 10:15:00+00:00,916.89,918.0,915.02,917.6,7682.72
2025-09-15 10:30:00+00:00,917.6,919.1,916.89,919.09,3010.07
2025-09-15 10:45:00+00:00,919.09,920.9,918.9,919.64,8271.6
2025-09-15 11:00:00+00:00,919.65,921.82,918.47,920.95,5101.96
2025-09-15 11:15:00+00:00,920.94,921.59,919.52,920.52,4613.42
2025-09-15 11:30:00+00:00,920.53,922.19,920.25,921.86,4297.03
2025-09-15 11:45:00+00:00,921.85,922.03,920.0,920.46,2953.01
2025-09-15 12:00:00+00:00,920.45,920.54,918.42,919.34,4655.89
2025-09-15 12:15:00+00:00,919.34,921.62,919.07,919.12,4506.68
2025-09-15 12:30:00+00:00,919.12,920.59,918.46,918.93,3344.71
2025-09-15 12:45:00+00:00,918.92,919.08,917.28,918.19,4173.42
2025-09-15 13:00:00+00:00,918.19,920.37,917.4,920.36,5298.64
2025-09-15 13:15:00+00:00,920.35,921.24,919.6,921.05,3573.09
2025-09-15 13:30:00+00:00,921.06,923.59,916.34,917.01,14541.32
2025-09-15 13:45:00+00:00,917.0,919.4,916.65,917.86,7610.81
2025-09-15 14:00:00+00:00,917.86,918.93,915.38,918.15,9570.36
2025-09-15 14:15:00+00:00,918.15,920.2,917.14,918.85,5996.09
2025-09-15 14:30:00+00:00,918.85,918.97,916.35,918.87,3979.94
2025-09-15 14:45:00+00:00,918.87,920.48,917.27,917.8,4475.6
2025-09-15 15:00:00+00:00,917.79,918.96,916.43,916.67,4207.94
2025-09-15 15:15:00+00:00,916.66,917.81,914.5,916.04,9940.26
2025-09-15 15:30:00+00:00,916.05,917.45,913.13,915.4,12266.86
2025-09-15 15:45:00+00:00,915.39,917.85,912.8,916.95,7397.23
2025-09-15 16:00:00+00:00,916.94,917.55,913.17,916.8,7717.75
2025-09-15 16:15:00+00:00,916.8,917.16,915.8,916.85,2951.34
2025-09-15 16:30:00+00:00,916.84,919.75,915.92,919.74,3794.7
2025-09-15 16:45:00+00:00,919.75,919.75,916.14,917.42,3523.95
2025-09-15 17:00:00+00:00,917.42,919.2,917.02,918.32,3786.07
2025-09-15 17:15:00+00:00,918.33,918.82,916.24,917.87,2204.41
2025-09-15 17:30:00+00:00,917.86,919.57,917.37,919.49,2371.34
2025-09-15 17:45:00+00:00,919.5,920.36,917.78,920.21,3333.77
2025-09-15 18:00:00+00:00,920.21,920.68,918.93,919.11,2983.08
2025-09-15 18:15:00+00:00,919.11,920.23,918.65,919.03,1498.5
2025-09-15 18:30:00+00:00,919.04,919.58,917.85,918.12,2807.0
2025-09-15 18:45:00+00:00,918.13,921.6,918.12,921.04,3418.6
2025-09-15 19:00:00+00:00,921.05,922.56,920.52,920.92,6480.27
2025-09-15 19:15:00+00:00,920.92,920.99,918.76,918.88,1826.03
2025-09-15 19:30:00+00:00,918.89,921.46,918.12,920.47,2590.49
2025-09-15 19:45:00+00:00,920.48,920.93,919.49,919.94,1260.29
2025-09-15 20:00:00+00:00,919.95,920.9,918.96,920.47,1991.29
2025-09-15 20:15:00+00:00,920.47,921.1,919.59,919.87,2132.76
2025-09-15 20:30:00+00:00,919.88,920.31,919.74,920.26,815.33
2025-09-15 20:45:00+00:00,920.26,920.49,919.53,920.42,2011.77
2025-09-15 21:00:00+00:00,920.43,920.63,919.12,920.01,1625.3
2025-09-15 21:15:00+00:00,920.01,921.22,919.92,921.21,1639.45
2025-09-15 21:30:00+00:00,921.21,922.17,921.03,922.17,1241.43
2025-09-15 21:45:00+00:00,922.18,922.88,922.18,922.51,1593.59
2025-09-15 22:00:00+00:00,922.51,922.94,921.38,922.32,2842.07
2025-09-15 22:15:00+00:00,922.31,922.91,921.65,921.79,1538.76
2025-09-15 22:30:00+00:00,921.79,922.01,919.85,920.39,1573.38
2025-09-15 22:45:00+00:00,920.39,920.51,919.68,920.28,1145.8
2025-09-15 23:00:00+00:00,920.27,920.7,919.44,919.51,1623.26
2025-09-15 23:15:00+00:00,919.51,920.38,919.5,920.08,1618.16
2025-09-15 23:30:00+00:00,920.07,920.42,918.66,918.85,1417.17
2025-09-15 23:45:00+00:00,918.84,920.3,918.67,920.12,1561.07
2025-09-16 00:00:00+00:00,920.11,920.12,918.91,919.0,2647.5
2025-09-16 00:15:00+00:00,919.0,919.39,917.05,917.29,5322.74
2025-09-16 00:30:00+00:00,917.29,919.91,917.28,919.63,2514.93
2025-09-16 00:45:00+00:00,919.62,919.76,918.0,919.53,1502.14
2025-09-16 01:00:00+00:00,919.53,921.99,919.43,921.19,5340.66
2025-09-16 01:15:00+00:00,921.19,922.72,920.96,922.18,2068.11
2025-09-16 01:30:00+00:00,922.19,922.98,920.6,921.09,2983.36
